details_competition_type;date;start_altitude;finish_altitude;lenght;vertical_drop;coursesetter;coursesetter_nat;number_of_gates;start_time;total_rank;bib;name;country;total_time;season;birthdate;age;gender;skis;boots;poles;run;rank;run_time;location;location_country;wpc;wpc_fake;total_wcp_nat_last
Super G;2021-12-11;2640;2040;2196.0;600;Rodseth Thomas;NOR;40.0;10:30;33.0;15.0;SCHMIDHOFER Nicole;AUT;1:23.69;2021_2022;1989-03-15;33.0;Female;Fischer;Fischer;Leki;1;33.0;1:23.69;ST. MORITZ;SUI;;;3953.0
Slalom;2020-11-21;438;258;;180;Magoni Livio;SVK;67.0;14:15;;;O BRIEN Nina;USA;;2020_2021;1997-11-29;25.0;Female;Rossignol;Rossignol;;2;67.0;;LEVI;FIN;;;1719.0
Giant Slalom;2023-03-12;1278;843;;435;Epstein Poul;SVK;53.0;09:30;;36.0;LAIDLAW Harry;AUS;;2022_2023;1996-03-01;27.0;Male;Voelkl;Dalbello;;1;40.0;1:17.58;KRANJSKA GORA;SLO;;;0.0
Slalom;2021-11-28;980;780;;200;Gemza Matej;SVK;59.0;12:45;;;MIDALI Roberta;ITA;;2021_2022;1994-11-10;28.0;Female;Rossignol;Rossignol;;2;60.0;;KILLINGTON;USA;;;3799.0
Slalom;2023-01-08;1513;1302;;211;Enocson Calle;SWE;68.0;10:30;21.0;36.0;KOLEGA Samuel;CRO;1:51.94;2022_2023;1999-01-15;24.0;Male;Rossignol;Rossignol;;1;28.0;57.28;ADELBODEN;SUI;10.0;3.0;455.0
Slalom;2023-03-11;597;396;;201;Poljsak Sergej;SLO;67.0;10:30;1.0;5.0;SHIFFRIN Mikaela;USA;1:41.77;2022_2023;1995-03-13;27.0;Female;Atomic;Atomic;Leki;1;1.0;50.93;ARE;SWE;100.0;100.0;2268.0
Giant Slalom;2021-10-24;3040;2670;;370;Krug Helmuth;SUI;46.0;13:30;;;FRANZONI Giovanni;ITA;;2021_2022;2001-03-30;21.0;Male;Rossignol;Rossignol;;2;107.0;;SOELDEN;AUT;;;1936.0
Slalom;2023-01-08;1513;1302;;211;Deldio Simone;ITA;68.0;13:30;;6.0;GSTREIN Fabio;AUT;;2022_2023;1997-06-14;25.0;Male;Atomic;Atomic;;2;53.0;;ADELBODEN;SUI;;;5682.0
Slalom;2022-11-20;438;258;;180;Jonsson Per;SWE;66.0;14:15;8.0;16.0;LIENSBERGER Katharina;AUT;1:54.06;2022_2023;1997-04-01;25.0;Female;Rossignol;Rossignol;Leki;2;12.0;56.39;LEVI;FIN;32.0;22.0;4985.0
Super G;2022-01-16;1875;1380;1900.0;495;Viale Marco;FRA;36.0;11:30;;51.0;WILKINSON Alix;USA;;2021_2022;2000-08-02;22.0;Female;Head;Head;;1;0.0;;ZAUCHENSEE;AUT;;;2154.0
Slalom;2023-03-11;597;396;;201;Poljsak Sergej;SLO;67.0;10:30;;30.0;FILSER Andrea;GER;;2022_2023;1993-03-25;29.0;Female;Voelkl;Dalbello;;1;38.0;54.79;ARE;SWE;;;1071.0
Giant Slalom;2023-01-25;1580;1206;;374;Miniotti Pierre;SWE;45.0;10:30;26.0;25.0;RAST Camille;SUI;2:07.12;2022_2023;1999-07-09;23.0;Female;Salomon;Salomon;;1;25.0;1:02.98;KRONPLATZ;ITA;5.0;6.0;4705.0
Super G;2020-12-18;2010;1410;2415.0;600;Brunner Sepp;AUT;45.0;11:45;53.0;49.0;SEGER Riley;CAN;1:30.19;2020_2021;1997-04-21;25.0;Male;Rossignol;Rossignol;Leki;1;53.0;1:30.19;VAL GARDENA-GROEDEN;ITA;;;396.0
Slalom;2023-02-26;2113;1907;;206;Vuignier Julian;SUI;64.0;10:00;;37.0;RASCHNER Dominik;AUT;;2022_2023;1994-08-23;28.0;Male;Rossignol;Rossignol;Leki;1;46.0;55.50;PALISADES TAHOE;USA;;;5682.0
Super G;2022-01-16;1875;1380;1900.0;495;Viale Marco;FRA;36.0;11:30;24.0;16.0;HOLDENER Wendy;SUI;1:12.51;2021_2022;1993-05-12;29.0;Female;Head;Head;Leki;1;24.0;1:12.51;ZAUCHENSEE;AUT;7.0;7.0;4758.0
Slalom;2021-12-22;1733;1550;;183;Gustafsson Mika;SWE;61.0;17:45;;66.0;SACCARDI Tommaso;ITA;;2021_2022;;;;;;;1;65.0;;MADONNA DI CAMPIGLIO;ITA;;;0.0
Slalom;2023-02-04;1169;985;;184;Kroisleitner Martin;AUT;66.0;12:30;18.0;9.0;MAES Sam;BEL;1:45.55;2022_2023;1998-06-07;24.0;Male;Voelkl;Dalbello;;2;16.0;53.77;CHAMONIX;FRA;13.0;15.0;86.0
Giant Slalom;2023-03-10;736;396;;340;Pichler Charly;AUT;43.0;10:00;;45.0;DVORNIK Neja;SLO;;2022_2023;2001-01-06;22.0;Female;Fischer;Fischer;Leki;1;37.0;58.49;ARE;SWE;;;1273.0
Giant Slalom;2022-12-10;2400;2044;;356;Poljsak Sergej;SLO;50.0;10:30;;63.0;JOHANSSON Stella;USA;;2022_2023;2003-02-09;20.0;Female;Atomic;Atomic;;1;52.0;1:18.06;SESTRIERE;ITA;;;2268.0
Super G;2020-12-12;2297;1810;1892.0;487;Anderson Peter;NOR;31.0;10:30;40.0;31.0;CRAWFORD James;CAN;1:03.50;2020_2021;1997-05-03;25.0;Male;Head;Head;;1;40.0;1:03.50;VAL D'ISERE;FRA;;;396.0
Super G;2021-02-06;1308;770;2180.0;538;Ghidoni Alberto;ITA;37.0;11:30;47.0;52.0;ROEA Henrik;NOR;1:15.78;2020_2021;1995-08-05;27.0;Male;Nordica;Nordica;;1;47.0;1:15.78;GARMISCH-PARTENKIRCHEN;GER;;;4399.0
Giant Slalom;2021-02-27;2060;1610;;450;Suman Marko;CRO;52.0;11:00;;33.0;MOELGG Manfred;ITA;;2020_2021;1982-06-03;40.0;Male;Fischer;Fischer;Leki;1;37.0;1:12.87;BANSKO;BUL;;;2205.0
Slalom;2022-01-16;1475;1281;;194;Davidson Johnny;NOR;58.0;13:30;11.0;15.0;MATT Michael;AUT;1:42.72;2021_2022;1993-05-13;29.0;Male;Augment;;Leki;2;14.0;50.08;WENGEN;SUI;24.0;18.0;5258.0
Giant Slalom;2021-12-19;1868;1420;;448;Page Kevin;FRA;53.0;13:30;1.0;24.0;KRISTOFFERSEN Henrik;NOR;2:25.04;2021_2022;1994-07-02;28.0;Male;Van Deer;;;2;3.0;1:12.82;ALTA BADIA;ITA;100.0;60.0;3068.0
Slalom;2021-12-22;1733;1550;;183;Gustafsson Mika;SWE;61.0;17:45;25.0;48.0;TAYLOR Laurie;GBR;1:36.55;2021_2022;1996-02-10;27.0;Male;Head;Head;;1;24.0;47.72;MADONNA DI CAMPIGLIO;ITA;6.0;7.0;279.0
Giant Slalom;2020-12-14;2175;1815;;360;Baldissarutti Matteo;SVK;47.0;13:00;16.0;16.0;ROBNIK Tina;SLO;2:23.21;2020_2021;1991-07-30;31.0;Female;Voelkl;Dalbello;;2;19.0;1:12.53;COURCHEVEL;FRA;15.0;12.0;787.0
Giant Slalom;2020-12-05;2070;1730;;340;Krug Helmut;SUI;48.0;13:30;;;ORTEGA Albert;ESP;;2020_2021;;;;;;;2;53.0;;SANTA CATERINA;ITA;;;0.0
Giant Slalom;2021-10-24;3040;2670;;370;Brunner Bernd;GER;48.0;10:00;23.0;34.0;SARRAZIN Cyprien;FRA;2:07.74;2020_2021;1994-10-13;28.0;Male;Rossignol;Rossignol;;1;53.0;1:05.70;SOELDEN;AUT;8.0;;4197.0
Super G;2020-12-12;2297;1810;1892.0;487;Anderson Peter;NOR;31.0;10:30;11.0;9.0;MAYER Matthias;AUT;1:02.31;2020_2021;1990-06-09;32.0;Male;Head;Head;Leki;1;11.0;1:02.31;VAL D'ISERE;FRA;24.0;24.0;3879.0
Slalom;2021-03-14;1038;838;;200;Mithassel Christian;NOR;63.0;12:30;;;MOELGG Manfred;ITA;;2020_2021;1982-06-03;40.0;Male;Fischer;Fischer;Leki;2;67.0;;KRANJSKA GORA;SLO;;;2205.0
Slalom;2023-02-26;2113;1907;;206;Vuignier Julian;SUI;64.0;10:00;;52.0;RUELAND Simon;AUT;;2022_2023;1997-05-15;25.0;Male;Voelkl;Dalbello;;1;50.0;;PALISADES TAHOE;USA;;;5682.0
Giant Slalom;2022-03-13;1278;846;;432;Husby Anders;NOR;51.0;12:30;19.0;3.0;BORSOTTI Giovanni;ITA;2:20.64;2021_2022;1990-12-18;32.0;Male;Rossignol;Rossignol;Leki;2;9.0;1:06.15;KRANJSKA GORA;SLO;12.0;29.0;1936.0
Slalom;2021-01-10;1513;1302;;211;Omminger Andreas;GER;67.0;10:30;24.0;40.0;SALA Tommaso;ITA;2:02.51;2020_2021;1995-09-06;27.0;Male;Dynastar;Lange;Leki;1;25.0;55.06;ADELBODEN;SUI;7.0;6.0;2205.0
Slalom;2022-11-19;438;258;;180;Lenz Markus;GER;63.0;11:00;;43.0;ALEXANDER Kiki;CAN;;2022_2023;;;;;;;1;59.0;58.62;LEVI;FIN;;;0.0
Slalom;2021-01-03;988;768;;220;Huttegger Gerhard;AUT;70.0;16:00;14.0;20.0;MOLTZAN Paula;USA;2:01.82;2020_2021;1994-04-07;28.0;Female;Rossignol;Rossignol;;2;3.0;1:00.40;ZAGREB;CRO;18.0;60.0;1719.0
Slalom;2023-01-22;1004;811;;193;Joris Matteo;SUI;61.0;13:30;;;DEL CAMPO Juan;ESP;;2022_2023;1994-06-28;28.0;Male;Atomic;Atomic;;2;39.0;;KITZBUEHEL;AUT;;;158.0
Slalom;2022-12-22;1733;1550;;183;Fuess Robert;AUT;61.0;17:45;;76.0;GRAVIER Tiziano;ARG;;2022_2023;;;;;;;1;74.0;;MADONNA DI CAMPIGLIO;ITA;;;0.0
Slalom;2022-02-27;942;735;;207;Glasse Davies Tristan;GBR;69.0;12:30;9.0;14.0;VINATZER Alex;ITA;1:53.62;2021_2022;1999-09-22;23.0;Male;Atomic;Atomic;Leki;2;9.0;58.52;GARMISCH-PARTENKIRCHEN;GER;29.0;29.0;1936.0
Giant Slalom;2020-12-20;1868;1420;;448;Pircher Michael;AUT;55.0;13:30;;;KATO Seigo;JPN;;2020_2021;;;;;;;2;39.0;;ALTA BADIA;ITA;;;0.0
Super G;2023-01-28;2210;1560;2200.0;650;Saioni Christophe;FRA;44.0;11:10;;40.0;KRENN Christoph;AUT;;2022_2023;;;;;;;1;0.0;;CORTINA D'AMPEZZO;ITA;;;0.0
Giant Slalom;2023-01-07;1730;1310;;420;Kroisleitner Martin;AUT;55.0;13:30;16.0;7.0;ANGUENOT Leo;FRA;2:34.88;2022_2023;1998-08-25;24.0;Male;Rossignol;Rossignol;;2;7.0;1:14.65;ADELBODEN;SUI;15.0;36.0;2251.0
Slalom;2021-01-10;1513;1302;;211;Omminger Andreas;GER;67.0;10:30;;44.0;JUNG Donghyun;KOR;;2020_2021;;;;;;;1;43.0;56.29;ADELBODEN;SUI;;;0.0
Giant Slalom;2021-12-21;2175;1815;;360;Kornberger Stefan;AUT;47.0;10:00;10.0;9.0;HOLTMANN Mina Fuerst;NOR;2:18.17;2021_2022;1995-07-17;27.0;Female;Atomic;Atomic;;1;5.0;1:06.81;COURCHEVEL;FRA;26.0;45.0;1523.0
Slalom;2021-11-21;438;258;;180;Lackie Jeff;USA;66.0;11:30;6.0;13.0;DUBOVSKA Martina;CZE;1:46.62;2021_2022;1992-02-27;31.0;Female;Kaestle;;Leki;1;7.0;52.87;LEVI;FIN;40.0;36.0;641.0
Giant Slalom;2020-12-20;1868;1420;;448;Brunner Bernd;GER;55.0;10:00;;11.0;MEILLARD Loic;SUI;;2020_2021;1996-10-29;26.0;Male;Rossignol;Rossignol;Leki;1;43.0;1:16.45;ALTA BADIA;ITA;;;4979.0
Giant Slalom;2021-10-24;3040;2670;;370;Brunner Bernd;GER;48.0;10:00;22.0;28.0;PHILP Trevor;CAN;2:07.66;2020_2021;1992-05-01;30.0;Male;Rossignol;Rossignol;;1;42.0;1:05.32;SOELDEN;AUT;9.0;;396.0
Slalom;2022-02-26;942;735;;207;Suman Marko;CRO;69.0;09:30;;52.0;WALLACE Liam;CAN;;2021_2022;;;;;;;1;60.0;;GARMISCH-PARTENKIRCHEN;GER;;;0.0
Giant Slalom;2023-01-08;1175;855;;320;Praz Laurent;CAN;40.0;09:30;;62.0;STEINMAIR Laura;ITA;;2022_2023;2000-10-03;22.0;Female;Fischer;Fischer;;1;50.0;58.83;KRANJSKA GORA;SLO;;;3911.0
Super G;2023-03-05;3058;2484;1860.0;574;Kucera John;CAN;37.0;10:00;28.0;46.0;BENNETT Bryce;USA;1:08.42;2022_2023;1992-07-14;30.0;Male;Fischer;Fischer;;1;28.0;1:08.42;ASPEN;USA;3.0;3.0;1376.0
Slalom;2022-02-27;942;735;;207;Costazza Stefano;ITA;68.0;09:10;;32.0;SIMONET Sandro;SUI;;2021_2022;1995-07-05;27.0;Male;Rossignol;Rossignol;;1;53.0;;GARMISCH-PARTENKIRCHEN;GER;;;5329.0
Slalom;2021-03-12;597;396;;201;Brill Christian;SUI;67.0;13:30;;23.0;PETERLINI Martina;ITA;;2020_2021;;;;;;;1;48.0;;ARE;SWE;;;0.0
Slalom;2020-12-21;1610;1420;;190;Meynet Thierry;SUI;64.0;13:00;;;HAUGAN Timon;NOR;;2020_2021;1996-12-27;26.0;Male;Van Deer;;;2;51.0;;ALTA BADIA;ITA;;;4399.0
Giant Slalom;2021-12-22;2175;1815;;360;De Florian Paolo;ITA;46.0;13:00;;;STJERNESUND Thea Louise;NOR;;2021_2022;1996-11-24;26.0;Female;Rossignol;Rossignol;;2;43.0;;COURCHEVEL;FRA;;;1523.0
Giant Slalom;2021-01-16;1229;843;;386;Kornberger Stefan;AUT;44.0;11:00;;48.0;BERTANI Luisa Matilde Maria;ITA;;2020_2021;;;;;;;1;56.0;;KRANJSKA GORA;SLO;;;0.0
Giant Slalom;2022-11-26;1066;782;;284;Simoncelli Daniele;ITA;35.0;10:00;;50.0;HURT A J;USA;;2022_2023;2000-12-05;22.0;Female;Head;Head;;1;57.0;;KILLINGTON;USA;;;2268.0
Slalom;2021-11-28;980;780;;200;Gfeller Tim;NOR;60.0;09:45;;62.0;NELLES Mathilde;BEL;;2021_2022;;;;;;;1;56.0;55.86;KILLINGTON;USA;;;0.0
Slalom;2021-12-12;2043;1845;;198;Meynet Thierry;SUI;58.0;13:00;;;STRASSER Linus;GER;;2021_2022;1992-11-06;30.0;Male;Rossignol;Rossignol;Leki;2;65.0;;VAL D'ISERE;FRA;;;1867.0
Giant Slalom;2022-12-10;2400;2044;;356;Poljsak Sergej;SLO;50.0;10:30;23.0;33.0;ALPHAND Estelle;SWE;2:32.59;2022_2023;1995-04-23;27.0;Female;Head;Head;Leki;1;22.0;1:14.78;SESTRIERE;ITA;8.0;9.0;1171.0
Slalom;2021-01-16;1160;960;;200;Salej Rok;SLO;67.0;09:30;;36.0;HOLZMANN Sebastian;GER;;2020_2021;1993-03-22;29.0;Male;Voelkl;Dalbello;Leki;1;28.0;57.29;FLACHAU;AUT;;3.0;1700.0
Giant Slalom;2022-03-06;1920;1530;;390;Miniotti Pierre;SWE;48.0;10:00;17.0;26.0;HAASER Ricarda;AUT;2:05.63;2021_2022;1993-09-10;29.0;Female;Fischer;Fischer;;1;22.0;1:03.79;LENZERHEIDE;SUI;14.0;9.0;3953.0
Super G;2022-03-05;2160;1560;1867.0;600;Pini Mauro;SVK;45.0;10:00;12.0;38.0;HAASER Ricarda;AUT;1:22.76;2021_2022;1993-09-10;29.0;Female;Fischer;Fischer;;1;12.0;1:22.76;LENZERHEIDE;SUI;22.0;22.0;3953.0
Giant Slalom;2022-01-08;1730;1310;;420;Girardi Walter;ITA;53.0;10:30;;30.0;KUZNETSOV Ivan;RUS;;2021_2022;;;;;;;1;45.0;;ADELBODEN;SUI;;;0.0
Giant Slalom;2021-12-20;1868;1420;;448;Rottensteiner Michael;NOR;53.0;13:30;;;BORGNAES Christian;AUT;;2021_2022;1996-03-19;26.0;Male;Salomon;Salomon;;2;34.0;;ALTA BADIA;ITA;;;5258.0
Slalom;2021-12-29;880;680;;200;Prevuznak Andrej;CZE;61.0;13:00;;;LJUTIC Zrinka;CRO;;2021_2022;2004-01-26;19.0;Female;Rossignol;Rossignol;;2;63.0;;LIENZ;AUT;;;34.0
Slalom;2023-01-10;1170;960;;210;Pini Mauro;SVK;70.0;18:00;22.0;21.0;ST-GERMAIN Laurence;CAN;2:00.21;2022_2023;1994-05-30;28.0;Female;Rossignol;Rossignol;;1;21.0;57.35;FLACHAU;AUT;9.0;10.0;1025.0
Giant Slalom;2021-12-11;2300;1850;;450;Pircher Michael;AUT;48.0;13:00;;;MEINERS Maarten;NED;;2021_2022;1992-02-08;31.0;Male;Rossignol;Rossignol;;2;63.0;;VAL D'ISERE;FRA;;;5.0
Giant Slalom;2023-01-07;1175;855;;320;Orlowski Marcin;POL;40.0;12:30;22.0;;DIREZ Clara;FRA;1:57.91;2022_2023;1995-04-05;27.0;Female;Dynastar;Lange;Leki;2;15.0;58.64;KRANJSKA GORA;SLO;9.0;16.0;1943.0
Super G;2023-01-15;1955;1355;1875.0;600;Senigagliesi Alberto;FIS;39.0;11:15;;47.0;FLECKENSTEIN Stefanie;CAN;;2022_2023;1997-09-06;25.0;Female;Rossignol;Rossignol;Leki;1;0.0;;ST. ANTON;AUT;;;1025.0
Slalom;2021-01-06;988;768;;220;Theolier Jacques;ITA;76.0;12:15;21.0;34.0;SIMONET Sandro;SUI;2:02.81;2020_2021;1995-07-05;27.0;Male;Rossignol;Rossignol;;1;16.0;1:01.39;ZAGREB;CRO;10.0;15.0;4979.0
Giant Slalom;2020-10-18;3040;2670;;370;Perrin Frédéric;FRA;49.0;10:00;;44.0;GRATZ Fabian;GER;;2020_2021;1997-07-22;25.0;Male;Fischer;Fischer;;1;38.0;1:11.03;SOELDEN;AUT;;;1700.0
Slalom;2021-03-14;1038;838;;200;Thoule Nicolas;FRA;65.0;09:30;;27.0;SIMONET Sandro;SUI;;2020_2021;1995-07-05;27.0;Male;Rossignol;Rossignol;;1;50.0;;KRANJSKA GORA;SLO;;;4979.0
Giant Slalom;2023-01-07;1175;855;;320;Blum Vincent;FRA;40.0;09:30;;60.0;JELINKOVA Adriana;CZE;;2022_2023;1995-04-10;27.0;Female;Voelkl;Atomic;;1;10.0;1:00.65;KRANJSKA GORA;SLO;;26.0;567.0
Giant Slalom;2023-02-25;2304;1918;;386;Pircher Michael;AUT;50.0;11:00;;47.0;SEGER Riley;CAN;;2022_2023;1997-04-21;25.0;Male;Rossignol;Rossignol;Leki;1;36.0;1:10.83;PALISADES TAHOE;USA;;;1184.0
Giant Slalom;2022-03-11;796;396;;400;Rulfi Gianluca;ITA;54.0;18:00;7.0;20.0;FRASSE SOMBET Coralie;FRA;2:34.97;2021_2022;1991-04-08;31.0;Female;Head;Head;Leki;2;12.0;1:18.40;ARE;SWE;36.0;22.0;850.0
Slalom;2022-11-19;438;258;;180;Pini Mauro;SVK;68.0;14:00;22.0;2.0;RAST Camille;SUI;1:54.65;2022_2023;1999-07-09;23.0;Female;Salomon;Salomon;;2;20.0;57.95;LEVI;FIN;9.0;11.0;4705.0
Super G;2020-12-12;2297;1810;1892.0;487;Anderson Peter;NOR;31.0;10:30;42.0;32.0;MEILLARD Loic;SUI;1:03.67;2020_2021;1996-10-29;26.0;Male;Rossignol;Rossignol;Leki;1;42.0;1:03.67;VAL D'ISERE;FRA;;;4979.0
Giant Slalom;2022-01-25;1580;1206;;374;Day Mike;USA;45.0;13:30;;;MIDALI Roberta;ITA;;2021_2022;1994-11-10;28.0;Female;Rossignol;Rossignol;;2;30.0;;KRONPLATZ;ITA;;1.0;3799.0
Giant Slalom;2020-12-05;2070;1730;;340;Suman Marko;CRO;48.0;10:30;;54.0;HADALIN Stefan;SLO;;2020_2021;;;;;;;1;63.0;;SANTA CATERINA;ITA;;;0.0
Super G;2021-12-12;2490;2040;1791.0;450;Plankensteiner Hans Joerg;CAN;31.0;11:10;;43.0;STUHEC Ilka;SLO;;2021_2022;1990-10-26;32.0;Female;Kaestle;;;1;0.0;;ST. MORITZ;SUI;;;943.0
Slalom;2021-03-14;1038;838;;200;Thoule Nicolas;FRA;65.0;09:30;20.0;29.0;HAUGAN Timon;NOR;1:50.48;2020_2021;1996-12-27;26.0;Male;Van Deer;;;1;24.0;52.85;KRANJSKA GORA;SLO;11.0;7.0;4399.0
Giant Slalom;2020-12-14;2175;1815;;360;Prenn Alois;SUI;47.0;10:00;;59.0;POPOVIC Leona;CRO;;2020_2021;1997-11-13;25.0;Female;Voelkl;Dalbello;Leki;1;53.0;1:14.28;COURCHEVEL;FRA;;;5.0
Slalom;2020-11-22;438;258;;180;Mayrhofer Klaus;SUI;66.0;14:15;3.0;24.0;LIENSBERGER Katharina;AUT;1:49.55;2020_2021;1997-04-01;25.0;Female;Rossignol;Rossignol;Leki;2;1.0;54.66;LEVI;FIN;60.0;100.0;3815.0
Giant Slalom;2021-02-28;2060;1610;;450;Pozar Matjaz;SLO;51.0;14:00;;;SARRAZIN Cyprien;FRA;;2020_2021;1994-10-13;28.0;Male;Rossignol;Rossignol;;2;41.0;;BANSKO;BUL;;;4197.0
Giant Slalom;2020-12-05;2070;1730;;340;Suman Marko;CRO;48.0;10:30;23.0;9.0;DE ALIPRANDINI Luca;ITA;2:17.98;2020_2021;1990-09-01;32.0;Male;Salomon;Salomon;Leki;1;14.0;1:06.39;SANTA CATERINA;ITA;8.0;18.0;2205.0
Super G;2023-01-13;2025;1287;2950.0;738;Galli Lorenzo;ITA;52.0;12:00;4.0;12.0;KRIECHMAYR Vincent;AUT;1:48.94;2022_2023;1991-10-01;31.0;Male;Head;Head;;1;4.0;1:48.94;WENGEN;SUI;50.0;50.0;5682.0
Slalom;2022-11-20;438;258;;180;Jonsson Per;SWE;66.0;14:15;;;COLTURI Lara;ALB;;2022_2023;2006-11-15;16.0;Female;Blizzard;Tecnica;;2;49.0;;LEVI;FIN;;;0.0
Super G;2023-01-15;1955;1355;1875.0;600;Senigagliesi Alberto;FIS;39.0;11:15;22.0;28.0;PICHLER Karoline;ITA;1:19.69;2022_2023;1994-10-30;28.0;Female;Head;Head;Leki;1;22.0;1:19.69;ST. ANTON;AUT;9.0;9.0;3911.0
Slalom;2022-12-29;1230;1020;;210;Racki Goran;CRO;61.0;15:00;;48.0;LORENZI Lucrezia;ITA;;2022_2023;;;;;;;1;34.0;53.64;SEMMERING;AUT;;;0.0
Giant Slalom;2021-10-24;3040;2670;;370;Krug Helmuth;SUI;46.0;13:30;10.0;28.0;WINDINGSTAD Rasmus;NOR;2:06.86;2020_2021;1993-10-31;29.0;Male;Stoeckli;;;2;4.0;1:01.52;SOELDEN;AUT;26.0;50.0;4399.0
Super G;2022-01-23;2160;1560;2010.0;600;Gamper Franz;CZE;44.0;11:45;2.0;3.0;TIPPLER Tamara;AUT;1:21.07;2021_2022;1991-04-09;31.0;Female;Salomon;Salomon;;1;2.0;1:21.07;CORTINA D'AMPEZZO;ITA;80.0;80.0;3953.0
Giant Slalom;2021-10-24;3040;2670;;370;Brunner Bernd;GER;48.0;10:00;;52.0;DRUKAROV Andrej;LTU;;2021_2022;1999-05-10;23.0;Male;Rossignol;Rossignol;;1;117.0;1:07.84;SOELDEN;AUT;;;0.0
Slalom;2021-11-21;438;258;;180;Lackie Jeff;USA;66.0;11:30;;29.0;MEILLARD Melanie;SUI;;2021_2022;1998-09-23;24.0;Female;Rossignol;Rossignol;Leki;1;32.0;54.34;LEVI;FIN;;;4758.0
Giant Slalom;2021-10-24;3040;2670;;370;Brunner Bernd;GER;48.0;10:00;;50.0;DELLA VITE Filippo;ITA;;2020_2021;2001-10-04;21.0;Male;Rossignol;Rossignol;;1;68.0;1:06.18;SOELDEN;AUT;;;2205.0
Slalom;2022-12-11;2053;1850;;203;Masdal Ola;NOR;59.0;12:30;16.0;10.0;SALA Tommaso;ITA;1:40.44;2022_2023;1995-09-06;27.0;Male;Dynastar;Lange;Leki;2;13.0;48.69;VAL D'ISERE;FRA;15.0;20.0;2600.0
Giant Slalom;2020-12-14;2175;1815;;360;Baldissarutti Matteo;SVK;47.0;13:00;;;TILLEY Alex;GBR;;2020_2021;;;;;;;2;41.0;;COURCHEVEL;FRA;;;0.0
Slalom;2023-01-15;1475;1281;;194;Glasse-davies Tristan;GBR;65.0;10:15;;53.0;STURM Joshua;AUT;;2022_2023;;;;;;;1;25.0;1:03.18;WENGEN;SUI;;6.0;0.0
Giant Slalom;2023-01-24;1580;1206;;374;Pini Mauro;SVK;46.0;13:30;;;HILZINGER Jessica;GER;;2022_2023;1997-05-26;25.0;Female;Head;Head;;2;31.0;;KRONPLATZ;ITA;;;1071.0
Super G;2022-03-06;860;182;2405.0;678;Widauer Manfred;SUI;40.0;11:00;;56.0;ALEXANDER Cameron;CAN;;2021_2022;1997-05-31;25.0;Male;Rossignol;Rossignol;;1;0.0;;KVITFJELL;NOR;;;377.0
Giant Slalom;2023-03-11;1278;843;;435;Glebov Artem;NOR;51.0;09:30;21.0;17.0;READ Erik;CAN;2:20.06;2022_2023;1991-05-31;31.0;Male;Atomic;Atomic;;1;22.0;1:10.61;KRANJSKA GORA;SLO;10.0;9.0;1184.0
Giant Slalom;2021-12-21;2175;1815;;360;Orlowski Marcin;POL;47.0;13:00;24.0;10.0;ALPHAND Estelle;SWE;2:20.37;2021_2022;1995-04-23;27.0;Female;Head;Head;Leki;2;27.0;1:11.50;COURCHEVEL;FRA;7.0;4.0;593.0
Giant Slalom;2023-01-25;1148;758;;390;Page Kevin;FRA;47.0;20:45;;;VINATZER Alex;ITA;;2022_2023;1999-09-22;23.0;Male;Atomic;Atomic;Leki;2;61.0;;SCHLADMING;AUT;;;2600.0
Super G;2021-03-07;1697;1060;2230.0;637;Fournier Xavier;FRA;45.0;10:30;;12.0;MEILLARD Loic;SUI;;2020_2021;1996-10-29;26.0;Male;Rossignol;Rossignol;Leki;1;0.0;;SAALBACH-HINTERGLEMM;AUT;;;4979.0
Slalom;2020-12-21;1610;1420;;190;Witteveen Einar;NOR;68.0;10:00;;67.0;KATO Seigo;JPN;;2020_2021;;;;;;;1;66.0;;ALTA BADIA;ITA;;;0.0
Slalom;2022-12-29;1230;1020;;210;Racki Goran;CRO;61.0;15:00;10.0;12.0;DUBOVSKA Martina;CZE;1:45.33;2022_2023;1992-02-27;31.0;Female;Kaestle;;Leki;1;18.0;52.19;SEMMERING;AUT;26.0;13.0;567.0
Giant Slalom;2021-10-24;3040;2670;;370;Krug Helmuth;SUI;46.0;13:30;;;FEURSTEIN Lukas;AUT;;2020_2021;;;;;;;2;106.0;;SOELDEN;AUT;;;0.0
Giant Slalom;2020-10-18;3040;2670;;370;Perrin Frédéric;FRA;49.0;10:00;;45.0;HADALIN Stefan;SLO;;2020_2021;;;;;;;1;36.0;1:10.90;SOELDEN;AUT;;;0.0
Super G;2021-02-01;1308;770;2180.0;538;Platzer Roland;SUI;39.0;10:50;;49.0;SCHILLINGER Anna;GER;;2020_2021;;;;;;;1;0.0;;GARMISCH-PARTENKIRCHEN;GER;;;0.0
Slalom;2020-12-22;1733;1550;;183;Dogadkin Andrey;RUS;63.0;17:45;;37.0;LIZEROUX Julien;FRA;;2020_2021;;;;;;;1;42.0;51.28;MADONNA DI CAMPIGLIO;ITA;;;0.0
Giant Slalom;2023-01-08;1175;855;;320;Pfitscher Heini;SUI;39.0;12:30;;;HUBER Katharina;AUT;;2022_2023;1995-10-03;27.0;Female;Fischer;Fischer;;2;38.0;;KRANJSKA GORA;SLO;;;4985.0
